ign,wins,total_wins,already_matched,toughness,round_wins
N3thannn,"[1, 1, 0]",2,"[""Hebbarbarian "", ""Pmkd42"", ""AUSTINPRINCE44""]",2,0
Pmkd42,"[0, 0, 0]",0,"[""Slugslayer"", ""N3thannn"", ""kunalaich""]",0,0
Slugslayer,"[3, 0, 0, 0]",3,"[""Pmkd42"", ""FRIEZA2022"", ""StaaarL0rd"", ""StaaarL0rd""]",3,1
kunalaich,"[0, 1, 1, 1, 1, 1, 1, 1, 1]",8,"[""FRIEZA2022"", ""PooranPrasad"", ""PooranPrasad"", ""PooranPrasad"", ""Pmkd42"", ""Pmkd42"", ""Pmkd42"", ""Pmkd42"", ""Pmkd42""]",8,0
RedRiotUB ,"[2, 0, 2]",4,"[""harryjakess"", ""Rashvith"", ""Hebbarbarian ""]",4,2
Rashvith,"[2, 3, 3, 3, 1, 1, 1, 1, 1, 1]",17,"[""WysdomDoom"", ""RedRiotUB "", ""RedRiotUB "", ""RedRiotUB "", ""FRIEZA2022"", ""FRIEZA2022"", ""FRIEZA2022"", ""FRIEZA2022"", ""FRIEZA2022"", ""FRIEZA2022""]",17,4
PooranPrasad,"[2, 2, 2, 2]",8,"[""kunalaich"", ""kunalaich"", ""kunalaich"", ""kunalaich""]",8,4
FRIEZA2022,"[3, 3, 3, 3, 3, 2]",17,"[""kunalaich"", ""kunalaich"", ""kunalaich"", ""Slugslayer"", ""Slugslayer"", ""Rashvith""]",17,6
Prajwalkrish,"[0, 0, 1]",1,"[""shortgunmurgan "", ""ShiroiToraRyuu "", ""WysdomDoom""]",1,0
PSridhar,"[3, 3, 0]",6,"[""PooranPrasad"", ""shortgunmurgan "", ""rohitashwyo""]",6,2
shortgunmurgan ,"[3, 3, 3, 3]",12,"[""Prajwalkrish"", ""PSridhar"", ""PSridhar"", ""PooranPrasad""]",12,4
StaaarL0rd,"[2, 3, 3]",8,"[""Kayne98"", ""Hebbarbarian "", ""Slugslayer""]",8,3
Hebbarbarian ,"[2, 2, 1]",5,"[""N3thannn"", ""StaaarL0rd"", ""RedRiotUB ""]",5,2
ShiroiToraRyuu ,"[0, 0, 0]",0,"[""rohitashwyo"", ""Prajwalkrish"", ""Dabchick1114""]",0,0
AUSTINPRINCE44,"[2, 1, 3]",6,"[""Dabchick1114"", ""rohitashwyo"", ""N3thannn""]",5,2
WysdomDoom,"[1, 1, 1, 2, 2]",7,"[""Rashvith"", ""Rashvith"", ""Dabchick1114"", ""Prajwalkrish"", ""Prajwalkrish""]",7,2
Dabchick1114,"[1, 1, 1, 1, 3, 3]",9,"[""AUSTINPRINCE44"", ""AUSTINPRINCE44"", ""WysdomDoom"", ""WysdomDoom"", ""ShiroiToraRyuu "", ""ShiroiToraRyuu ""]",9,2
DocShashank1301,"[0, 1, 1]",2,"[""DocShashank1301"", ""Kayne98"", ""harryjakess""]",2,0
rohitashwyo,"[3, 3, 3, 3]",12,"[""ShiroiToraRyuu "", ""AUSTINPRINCE44"", ""AUSTINPRINCE44"", ""PSridhar""]",12,4
Kayne98,"[1, 1]",2,"[""StaaarL0rd"", ""DocShashank1301""]",2,0
harryjakess,"[1, 1, 2, 2, 2]",8,"[""RedRiotUB "", ""harryjakess"", ""DocShashank1301"", ""DocShashank1301"", ""DocShashank1301""]",8,3
